,PGA,RuBP,fRB,fP,fZ,alphar,PSIId,fR,PR,Cc,Ccyt,Ci,Ca,H2OS,gsw,sumA
36.0,8.797937745873161e-05,2.996791248687393e-05,0.4493330170406896,0.4878950922250364,0.06485737483683615,0.9870465259324293,0.9999976199011316,0.20234570964954893,4.171877155095069e-05,0.0002319896142116241,0.00026211222181656956,0.00027052504741716387,0.00037784772911591787,0.015617867723485439,0.09235111053210016,0.0
37.0,8.509058949774482e-05,3.151542245825594e-05,0.45392398213285456,0.4972485452109233,0.06659095243086198,0.9866989428602075,0.9999976175468541,0.20733928225222387,4.356379129045473e-05,0.00022953579470191322,0.0002601628092155058,0.00026871770245722636,0.00037779174725328913,0.015615780519029806,0.09241505173782882,0.0
38.0,8.204941165735199e-05,3.314546125430993e-05,0.45846996842612425,0.5064257369708439,0.06832099104882897,0.9863520056916235,0.9999976152027081,0.2123015934824553,4.5439527372582775e-05,0.00022723094066295097,0.00025833802893758485,0.0002670261266657002,0.0003777378664748031,0.01561404877070314,0.09247892009211618,0.0
39.0,7.885290314499513e-05,3.485964608053154e-05,0.46297141658852653,0.5154300039718284,0.07004750446469232,0.9860057132264131,0.9999976128686463,0.21723283904649782,4.734289204063393e-05,0.00022505604199526567,0.00025662291527447234,0.0002654365983565699,0.0003776861306854168,0.015612622109840523,0.09254271567796554,0.0
40.0,7.549967659676655e-05,3.665876865474285e-05,0.46742876297097335,0.5242646285375637,0.07177050719725567,0.9856600642665424,0.9999976105446198,0.22213321342542922,4.9270920503852376e-05,0.00022301112133499897,0.00025501775864359013,0.0002639494685203229,0.00037763656072470206,0.01561145703735739,0.09260643857828565,0.0
41.0,7.199072029264803e-05,3.854233927834972e-05,0.47184243964954775,0.5329328423820907,0.07349001476610131,0.9853150576162041,0.9999976082305756,0.2270029098828545,5.122070238588039e-05,0.00022108530163760112,0.00025351263324681773,0.0002625553592197926,0.00037758916039348843,0.015610516271112315,0.09267008887589079,0.0
42.0,6.832966575435055e-05,4.050844277505188e-05,0.4762128744687373,0.5414378297160585,0.07520604390529184,0.9849706920818124,0.9999976059264589,0.23184212047277028,5.318941940109743e-05,0.00021927385662647998,0.000252103863988899,0.00026125092681965773,0.00037754391255833655,0.0156097677980521,0.09273366665350095,0.0
43.0,6.452331381229442e-05,4.2553455239557074e-05,0.48054049107863583,0.5497827306224745,0.0769186128222436,0.9846269664720002,0.9999976036322102,0.23665103604636126,5.5174360661122e-05,0.00021757017488704806,0.00025078583431559876,0.00026003094806761103,0.0003775007863871033,0.015609184209082238,0.09279717199374177,0.0
44.0,6.058227922094628e-05,4.4671695178785996e-05,0.4848257089782308,0.5579706456456459,0.07862774157009339,0.984283879597614,0.999997601347767,0.24142984625992972,5.717293195935224e-05,0.00021596688313423116,0.0002495521694712058,0.00025888947092490513,0.0003774597393105509,0.015608742002761815,0.09286060497914482,0.0
45.0,5.652177761984506e-05,4.685499755020781e-05,0.4890689435574701,0.5660046412328733,0.08033345251578582,0.9839414302717104,0.9999975990730607,0.24617873958263078,5.918265956888323e-05,0.00021445795660905085,0.000248397775765452,0.00025782176289197115,0.0003774207182505214,0.015608421002305129,0.09292396569214759,0.0
46.0,5.236299534450833e-05,4.909197276206445e-05,0.49327060615080187,0.5738877586304458,0.0820357711503759,0.98359961730955,0.9999975968080177,0.2508979033063668,6.120118659058054e-05,0.00021303767768130795,0.0002473177963914565,0.00025682330690751475,0.0003773836631233531,0.015608203752594653,0.09298725421509375,0.0
47.0,4.813336655977527e-05,5.1367856998281976e-05,0.497431104041126,0.5816230155796103,0.08373472626062335,0.9832584395285969,0.9999975945525582,0.2555875235465334,6.322627059144582e-05,0.0002117009236413144,0.0002463078927331668,0.0002558900707844349,0.0003773485070516861,0.015608075509410667,0.09305047063023301,0.0
48.0,4.386869541653348e-05,5.3663364787802176e-05,0.5015508405266202,0.5892134198526863,0.0854303512027031,0.9829178957485125,0.9999975923065932,0.2602477852544081,6.525577408546748e-05,0.0002104427906072604,0.00024536382854974635,0.00025501810144393965,0.0003773151805897637,0.015608023571366281,0.09311361501972142,0.0
49.0,3.9615247462814915e-05,5.5953557655724506e-05,0.5056302149641262,0.5966619820520501,0.08712268516782323,0.9825779847911505,0.9999975900700249,0.264878872225257,6.728764736694105e-05,0.00020925926283358394,0.0002444821504569243,0.0002542041805854812,0.0003772836137164496,0.015608036967797164,0.09317668746562151,0.0
50.0,3.5429898695418867e-05,5.8207762330677934e-05,0.5096696227763348,0.6039717162073379,0.08881177325945176,0.9822387054805559,0.9999975878427437,0.26948096709971037,6.931992752360786e-05,0.00020814673746175918,0.00024365975189441296,0.0002534454121805357,0.0003772537356793841,0.015608106459912617,0.09323968804990214,0.0
51.0,3.138265202159628e-05,6.038820786402818e-05,0.5136694555247284,0.6111456552634229,0.09049766801296451,0.9819000566429579,0.9999975856246279,0.27405425137738626,7.135071646266076e-05,0.00020710219818030124,0.0002428940332409014,0.0002527393743779458,0.00037722547849564244,0.015608223992264561,0.09330261685443891,0.0
52.0,2.7556084195587963e-05,6.245031827514623e-05,0.5176301009415459,0.6181868476603879,0.09218042909692051,0.9815620371067659,0.999997583415543,0.27859890542297383,7.33781610592191e-05,0.00020612347344437589,0.00024218304854843676,0.0002520842428571571,0.0003771987776683497,0.015608382623107939,0.09336547396101415,0.0
53.0,2.40387484529191e-05,6.434626774654813e-05,0.5215519429588972,0.6250983187567235,0.0938601194272787,0.9812246457025668,0.9999975812153474,0.2831151084717661,7.540045186741766e-05,0.00020520837955179997,0.00024152490291348645,0.0002514782521897665,0.00037717357204256264,0.015608576419394556,0.09342825945131691,0.0
54.0,2.09270513196683e-05,6.602396799661676e-05,0.5254353617092998,0.6318830824831104,0.0955368063391691,0.9808878812631262,0.9999975790238926,0.28760303862939574,7.741580168280473e-05,0.0002043565112822757,0.00024091908715939537,0.0002509209052161884,0.0003771498054449266,0.01560880041340957,0.09349097340694308,0.0
55.0,1.8293020612760382e-05,6.744444636698888e-05,0.5292807336166853,0.6385439540232236,0.09721054270192576,0.9805517426233931,0.9999975768410487,0.29206287288574273,7.942241955329564e-05,0.00020356486752477044,0.00024036319997700086,0.00025041000203715594,0.0003771274285217796,0.015609050169059701,0.09355361590939487,0.0
56.0,1.6167862424794844e-05,6.859073930293904e-05,0.5330884314438405,0.6450834560463884,0.09888135698345621,0.9802162286204604,0.999997574666725,0.2964947871318846,8.141867112160593e-05,0.000202829124589496,0.00023985353760637288,0.00024994208953074904,0.0003771063863119434,0.01560932192532231,0.09361618704008251,0.0
57.0,1.453402823478747e-05,6.947218862229369e-05,0.5368588243459181,0.6515037783290247,0.10054924868236126,0.9798813380935529,0.9999975725008756,0.300898956172013,8.340308566469886e-05,0.00020214353610039523,0.0002393853675613956,0.00024951279100639425,0.0003770866195833823,0.015609612477348055,0.0936786868803248,0.0
